subdivision_uid,number,name
dhp,23,Nāga Vagga
dhp,24,Taṇhā Vagga
dhp,25,Bhikkhu Vagga
dhp,26,Brāhmaṇa Vagga
ud,1,Bodhi Vagga
ud,2,Mucalinda Vagga
ud,3,Nanda Vagga
ud,4,Meghiya Vagga
ud,5,Sonatherassa Vagga
ud,6,Jaccandha Vagga
ud,7,Cūla Vagga
ud,8,Pāṭaligāmiya Vagga
iti,1,Ekanipāta Paṭhama Vagga
iti,2,Ekanipāta Dutiya Vagga
iti,3,Ekanipāta Tatiya Vagga
iti,4,Dukanipāta Paṭhama Vagga
iti,5,Dukanipāta Dutiya Vagga
iti,6,Tikanipāta Paṭhama Vagga
iti,7,Tikanipāta Dutiya Vagga
iti,8,Tikanipāta Tatiya Vagga
iti,9,Tikanipāta Catuttha Vagga
iti,10,Tikanipāta Pañcama Vagga
iti,11,Catukkanipāta Paṭhama Vagga
snp,1,Uraga Vagga
snp,2,Cūla Vagga
snp,3,Mahā Vagga
snp,4,Aṭṭhaka Vagga
snp,5,Pārāyana Vagga
avs,1,Prathamo Vargaḥ
avs,2,Dvitīyo Vargaḥ
avs,3,Tṛtīyo Vargaḥ
avs,4,Caturtho Vargaḥ
avs,5,Paṃcamo Vargaḥ
avs,6,Ṣaṣṭho Vargaḥ
avs,7,Saptamo Vargaḥ
avs,8,Aṣṭamo Vargaḥ
avs,9,Navamo Vargaḥ
avs,10,Daśamo Vargaḥ
gdhp,1,Brammaṇa Vagga
gdhp,2,Bhikhu Vagga
gdhp,3,Tasiṇa Vagga
gdhp,4,Pavu Vagga
gdhp,5,Araha Vagga
gdhp,6,Magu Vagga
gdhp,7,Unknown Vagga
gdhp,8,Cita Vagga
gdhp,9,Bala Vagga
gdhp,10,Jara Vagga
gdhp,11,Suha Vagga
gdhp,12,Thera Vagga
gdhp,13,Yamaka Vagga
gdhp,14,Paṇḍita Vagga
gdhp,15,Bahuśruta Vagga
gdhp,16,Prakīrṇaka Vagga
gdhp,17,Krodha Vagga
gdhp,18,Puṣpa Vagga
gdhp,19,Sahasra Vagga
gdhp,20,śīla Vagga
gdhp,21,Kr̥tya Vagga
gdhp,22,Nāga aśva Vagga
pdhp,1,Jama Vagga
pdhp,2,Apramāda Vagga
pdhp,3,Brāhmaṇa Vagga
pdhp,4,Bhikṣu Vagga
pdhp,5,Attha Vagga
pdhp,6,Śoka Vagga
pdhp,7,Kalyāṇī Vagga
pdhp,8,Puṣpa Vagga
pdhp,9,Tahna Vagga
pdhp,10,Mala Vagga
pdhp,11,Bāla Vagga
pdhp,12,Daṇḍa Vagga
pdhp,13,Śaraṇa Vagga
pdhp,14,Khānti Vagga
pdhp,15,Āsava Vagga
pdhp,16,Vācā Vagga
pdhp,17,Ātta Vagga
pdhp,18,Dadantī Vagga
pdhp,19,Citta Vagga
pdhp,20,Māgga Vagga
pdhp,21,Sahasra Vagga
pdhp,22,Uraga Vagga
