sutta_uid,other_sutta_uid,partial,footnote
#commented-out texts are vinaya texts that are yet not supported by correspondence.csv
mn116,ea38.7,,<span class='author'>Akanuma</span> p. 169 draws attention to a passage in the Mahāvastu (<span class='author'>Senart</span> 1882 p. 357). This passage describes the self–cremation of <i>paccekabuddhas</i> on being told that the bodhisatta was about to take birth and thus is not a parallel to MN 116.
mn117,ma189,,
mn117,up6.080,,
mn117,sht-sutta51,,
mn118,sn54.13-16,1,
mn118,sa803,1,
mn118,sa810-812,1,
mn118,sa815,,"<span class='author'>Akanuma</span> p. 169 lists T 96. Examination shows that this discourse bears no resemblance to MN 118, apart from a single introductory sentence that links mindfulness of breathing to the attainment of knowledge and liberation."
mn118,sht-sutta84,,
mn119,ma81,,
mn120,ma168,1,"<span class='author'>Akanuma</span> p. 169 lists A iv. 123, 124 as parallel(s). Neither AN 4.123–124 at AN ii 126 nor AN 7.66 at AN iv 123–124 bears any resemblance to MN 120. He also lists MA 168 as a full parallel, yet  examination shows that this discourse differs in so many respects from MN 120 that it is probably best reckoned as a partial parallel. A so far unpublished Gandharī fragment, Senior manuscript 10, parallels part of MN 120 (Mark Allon, private communication)."
mn121,ma190,,
mn121,tib60,,
mn122,ma191,,
mn122,tib70,,
mn123,ma32,,"Several of the \""wonderful and marvellous\"" qualities of the Buddha treated in MN 123 recur in various Buddha biographies. Thus, e.g., his taking of a series of steps and making a proclamation right after being born can be found in the Saṅghabhedavastu in <span class='author'>Gnoli</span> 1977 p. 45, the Buddhacarita in <span class='author'>Johnston</span> 1995 p. 2, the Lalitavistara in <span class='author'>Lefmann</span> 1902 p. 85 or <span class='author'>Vaidya</span> 1958b p. 62, the Mahāvastu in <span class='author'>Senart</span> 1890 p. 24 or <span class='author'>Basak</span> 1965 p. 33, and in several Chinese accounts such as T 184 at T iii 463c, T 185 at T iii 473c, T 188 at T iii 618a, T 189 at T iii 625a."
mn124,ma34,,
mn125,ma198,,
mn126,ma173,,
mn126,sht-sutta80,,Identified by <span class='author'>Skilling</span> 2001: 249.
mn127,ma79,,
mn128,ja371,1,
mn128,ja428,1,
#mn128,kosambakavivadakatha,1,
mn128,ma72,,
mn128,ea24.8,1,
mn128,t212.15,1,
#mn128,t1421.24,1,
#mn128,t1425.13,1,
#mn128,t1428.43,1,
mn128,sf13,,
mn128,sht-sutta75,,
mn129,ma199,,
mn129,t86,1,
mn129,up2.033,1,
sa968,sf80,1,
mn129,divy26,,
mn130,an3.36,,
mn130,da30,1,"Correspondence reference is DA 30.4, T i 126b09–127a26."
mn130,t24,1,Correspondence reference is T i 330c18–332b9.
mn130,t25,1,Correspondence reference is T i 365a15–387b6.
mn130,ma64,,
mn130,t42,,
mn130,t43,,
mn130,t86,,
mn130,ea32.4,,
mn130,t212.9,1,Correspondence reference is T iv 668a04–669b10.
mn130,t741,1,
mn131,sht-sutta21,,
mn132,ma167,,
mn132,sf106,,
mn133,ma165,,
mn133,t1362,1,
mn133,dq120,1,
mn133,dq140,1,
mn133,dq150,1,
mn134,ma166,,
mn134,t77,,
mn135,ma170,,"The Karmavibhaṅga sections preserved in the Kutchean fragment in <span class='author'>Lévi</span> 1933 (cf. also <span class='author'>Sieg</span> 1938), and in the Sogdian fragment in <span class='author'>Rosenberg</span> 1920, do not parallel MN 135."
mn135,t78,,
mn135,t79,,
mn135,t80,,
mn135,t81,,
mn135,t755,,
mn135,dq130,,
mn135,tib40,,
mn135,sf76,,
mn135,sf85,,
mn135,sf87,,
mn135,sf88,,
mn135,sf98,,New edition <span class='author'>Kudo</span> 2004.
mn135,sht-sutta67,,
mn135,kf10,1,
mn136,ma171,,
mn136,t1509.24b,1,
mn136,up5.003,1,
mn137,ma163,,
mn137,sht-sutta72,,
mn138,ma164,,
mn138,sht-sutta52,,Identified in SHT viii p. 196.
mn139,ma169,,
mn139,sht-sutta13,,
mn140,ma162,,
mn140,t511,,
mn140,up1.041,,
mn141,ma31,,
mn141,t32,,
mn141,ea27.1,,
mn142,ma180,,
mn142,t84,,
mn142,t202.52,1,
mn142,t202.57,1,Correspondence reference is T iv 470a.
#mn142,t1421.29b,1,
mn142,up4.103,,
mn142,sht-sutta31,,
mn142,uf20,1,
mn143,sn1.48,1,
mn143,sn2.20,1,
mn143,sa593,1,
mn143,sa1032,1,
mn143,sa-2.187,1,
mn143,ea51.8,,"<span class='author'>Akanuma</span> p. 171 lists MA 28 at T i 458b as another parallel. But MA 28 agrees with SN 55.26 at SN v 380 as regards Sāriputta’s instructions to Anāthapiṇḍika, and in having Anāthapiṇḍika recover rather than dying, as recorded in MN 143 and EA 51.8. Hence, MA 28 (as also Skt fragment cat. no. 1397 in SHT vi 116) is better reckoned a parallel to SN 55.26."
mn144,sn35.87,,
mn144,sa1266,,
mn145,sn35.88,,
